id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL,Image
17,Blood Rage,2,4,90,2015,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection","Fantasy, Fighting, Miniatures, Mythology",Eric M. Lang,https://boardgamegeek.com/boardgame/170216/blood-rage,https://cf.geekdo-images.com/HkZSJfQnZ3EpS214xtuplg__original/img/Myy6IPDJDzLoPdXrPXVZcddBQoQ=/0x0/filters:format(jpeg)/pic2439223.jpg
18,Arkham Horror: The Card Game,1,2,120,2016,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers","Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based","Nate French, Matthew Newman",https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,https://cf.geekdo-images.com/B5F5ulz0UivNgrI9Ky0euA__original/img/guEKCewM_2e5ugltSN3dTSwdZJI=/0x0/filters:format(jpeg)/pic3122349.jpg
19,Mansions of Madness: Second Edition,1,5,180,2016,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Role Playing, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",Nikki Valens,https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition,https://cf.geekdo-images.com/LIooA9bTdjnE9qmhjL-UFw__original/img/Go6c8-ZiXomS8E7X4MBCdDd-aZc=/0x0/filters:format(jpeg)/pic3118622.jpg
20,Through the Ages: A Story of Civilization,2,4,240,2006,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management","Civilization, Economic",Vlaada Chvátil,https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization,https://cf.geekdo-images.com/3piN3YX4WmBRuIvbEG2Ygg__original/img/9it-9V5tij-EnowN_pLXQgl6k7c=/0x0/filters:format(jpeg)/pic236169.jpg
21,Mechs vs. Minions,2,4,90,2016,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers","Fantasy, Fighting, Miniatures, Video Game Theme","Chris Cantrell, Rick Ernst, Stone Librande, Prashant Saraswat, Nathan Tiras",https://boardgamegeek.com/boardgame/209010/mechs-vs-minions,https://cf.geekdo-images.com/n4J5LebMj0DQD016qW7ABw__original/img/KDP4s1942J-T52OEytY2VpUWZC0=/0x0/filters:format(jpeg)/pic3184103.jpg
22,Viticulture Essential Edition,1,6,90,2015,"Hand Management, Variable Phase Order, Worker Placement","Economic, Farming","Morten Monrad Pedersen, Jamey Stegmaier, Alan Stone",https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,https://cf.geekdo-images.com/l_PRU2lVlX9seScRFcvFlA__original/img/gDL7OZFlzoOFgU0VYlREs8P5hCQ=/0x0/filters:format(jpeg)/pic6500949.jpg
23,Star Wars: Imperial Assault,2,5,120,2014,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers","Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Justin Kemppainen, Corey Konieczka, Jonathan Ying",https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,https://cf.geekdo-images.com/pIQ_MXvaoARRp1loCHJuHg__original/img/12Xvbw01hpsAjsO0xrajZt2b5HY=/0x0/filters:format(jpeg)/pic2247647.jpg
24,Concordia,2,5,100,2013,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement","Ancient, Economic, Nautical",Mac Gerdts,https://boardgamegeek.com/boardgame/124361/concordia,https://cf.geekdo-images.com/CzwSm8i7tkLz6cBnrILZBg__original/img/BhJ3sB3uk-eSdR1iW4EP3cu0Wi0=/0x0/filters:format(jpeg)/pic3453267.jpg
25,Orléans,2,4,90,2014,"Deck / Pool Building, Point to Point Movement, Worker Placement","Medieval, Religious, Travel",Reiner Stockhausen,https://boardgamegeek.com/boardgame/164928/orleans,https://cf.geekdo-images.com/nagl1li6kYt9elV9jbfVQw__original/img/Qn6vlBaTUaHNFsqohIUjd0EA4z0=/0x0/filters:format(jpeg)/pic6228507.jpg
26,Power Grid,2,6,120,2004,"Auction/Bidding, Route/Network Building","Economic, Industry / Manufacturing",Friedemann Friese,https://boardgamegeek.com/boardgame/2651/power-grid,https://cf.geekdo-images.com/yd6LuatytHRhcFCxCf-EEg__original/img/OS13C6W4i1XW__wWVVVaqF7BV0c=/0x0/filters:format(jpeg)/pic4459753.jpg
27,Eclipse,2,6,200,2011,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers","Civilization, Fighting, Science Fiction, Space Exploration, Wargame",Touko Tahkokallio,https://boardgamegeek.com/boardgame/72125/eclipse,https://cf.geekdo-images.com/cnFppsVNOSTJ-W3APQFuTg__original/img/AbcjscBi-x3tVrsJsBhXq2RxLbc=/0x0/filters:format(jpeg)/pic1974056.jpg
28,Food Chain Magnate,2,5,240,2015,"Card Drafting, Deck / Pool Building, Modular Board, Route/Network Building, Simultaneous Action Selection","Economic, Industry / Manufacturing","Jeroen Doumen, Joris Wiersinga",https://boardgamegeek.com/boardgame/175914/food-chain-magnate,https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__original/img/9c-MJB6x54vN5eB-1hT4XQaHtP8=/0x0/filters:format(png)/pic2649434.png
29,A Feast for Odin,1,4,120,2016,"Area Enclosure, Dice Rolling, Pattern Building, Press Your Luck, Tile Placement, Worker Placement","Economic, Industry / Manufacturing, Medieval, Puzzle",Uwe Rosenberg,https://boardgamegeek.com/boardgame/177736/feast-odin,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__original/img/N1X-0JB1GapFVhl98nP4tNFXMcM=/0x0/filters:format(png)/pic3146943.png
30,Robinson Crusoe: Adventures on the Cursed Island,1,4,120,2012,"Action / Movement Programming, Co-operative Play, Deck / Pool Building, Dice Rolling, Storytelling, Tile Placement, Variable Player Powers, Worker Placement","Adventure, Exploration, Fighting, Novel-based",Ignacy Trzewiczek,https://boardgamegeek.com/boardgame/121921/robinson-crusoe-adventures-cursed-island,https://cf.geekdo-images.com/FbFnaTx3aT5dM18K_bR_Pg__original/img/TB2dGHOnuUr54jQYIJZDIMilOJE=/0x0/filters:format(jpeg)/pic3165731.jpg
31,Brass: Lancashire,2,4,180,2007,"Hand Management, Route/Network Building","Economic, Industry / Manufacturing, Transportation",Martin Wallace,https://boardgamegeek.com/boardgame/28720/brass-lancashire,https://cf.geekdo-images.com/tHVtPzu82mBpeQbbZkV6EA__original/img/3ffdJj5Pz6HQrg09Kh8ecTen-TY=/0x0/filters:format(jpeg)/pic3469216.jpg
32,Tzolk'in: The Mayan Calendar,2,4,90,2012,"Set Collection, Worker Placement","Ancient, Civilization, Economic, Farming, Mythology","Simone Luciani, Daniele Tascini",https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar,https://cf.geekdo-images.com/kXf7mDyDYuHg6oe8yTUIEA__original/img/f6-Au0KTnNR4nugSu2U-wPNbZCU=/0x0/filters:format(jpeg)/pic4604439.jpg
33,Le Havre,1,5,150,2008,Worker Placement,"City Building, Economic, Industry / Manufacturing, Nautical",Uwe Rosenberg,https://boardgamegeek.com/boardgame/35677/le-havre,https://cf.geekdo-images.com/y7Rqd3S6J7vyVhicR1bqTQ__original/img/tQFXv1w2R-J-1cjyaKG9LAS2UOs=/0x0/filters:format(jpeg)/pic6091101.jpg
34,Android: Netrunner,2,2,45,2012,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers","Bluffing, Card Game, Collectible Components, Science Fiction","Richard Garfield, Lukas Litzsinger",https://boardgamegeek.com/boardgame/124742/android-netrunner,https://cf.geekdo-images.com/2ewHIIG_TRq8bYlqk0jIMw__original/img/cassW39WF2QrPImJF59efADAmM0=/0x0/filters:format(jpeg)/pic3738560.jpg
35,Kingdom Death: Monster,1,6,180,2015,"Co-operative Play, Dice Rolling, Grid Movement, Role Playing, Storytelling","Adventure, Fantasy, Horror, Mature / Adult, Miniatures, Mythology",Adam Poots,https://boardgamegeek.com/boardgame/55690/kingdom-death-monster,https://cf.geekdo-images.com/LenzJBOHboAGU0cUIqAZPQ__original/img/-dnx4zkvdOn3CMVHpXIfESazj40=/0x0/filters:format(jpeg)/pic2931007.jpg
36,The Voyages of Marco Polo,2,4,100,2015,"Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement","Dice, Economic, Medieval, Travel","Simone Luciani, Daniele Tascini",https://boardgamegeek.com/boardgame/171623/voyages-marco-polo,https://cf.geekdo-images.com/n1G7_aWToLAAB7Mqt8iwyA__original/img/VQddnfi_QO0r4GmUU3M8_-nuO3Q=/0x0/filters:format(png)/pic2461346.png
37,The 7th Continent,1,4,1000,2017,"Co-operative Play, Hand Management, Modular Board, Storytelling","Adventure, Card Game, Exploration, Horror, Science Fiction","Ludovic Roudy, Bruno Sautter",https://boardgamegeek.com/boardgame/180263/7th-continent,https://cf.geekdo-images.com/OYne8uBCHv5oEgRfpOrV0A__original/img/jcTlhpYG2496xQtuQ277bFTIldY=/0x0/filters:format(jpeg)/pic2648303.jpg
38,Codenames,2,8,15,2015,"Memory, Partnerships, Pattern Recognition, Press Your Luck","Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",Vlaada Chvátil,https://boardgamegeek.com/boardgame/178900/codenames,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__original/img/gcX_EfjsRpB5fI4Ug4XV73G4jGI=/0x0/filters:format(jpeg)/pic2582929.jpg
39,Keyflower,2,6,120,2012,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement","City Building, Economic, Nautical, Renaissance, Territory Building","Sebastian Bleasdale, Richard Breese",https://boardgamegeek.com/boardgame/122515/keyflower,https://cf.geekdo-images.com/HbfgxDJZQnNEZQKvpmJxQg__original/img/HsrtfanhKfXX07zNEm-xZpSbxyY=/0x0/filters:format(jpeg)/pic2278942.jpg
40,7 Wonders,2,7,30,2010,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers","Ancient, Card Game, City Building, Civilization",Antoine Bauza,https://boardgamegeek.com/boardgame/68448/7-wonders,https://cf.geekdo-images.com/35h9Za_JvMMMtx_92kT0Jg__original/img/jt70jJDZ1y1FWJs4ZQf5FI8APVY=/0x0/filters:format(jpeg)/pic7149798.jpg
41,T.I.M.E Stories,2,4,240,2015,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers","Adventure, Mature / Adult, Science Fiction","Peggy Chassenet, Manuel Rozoy",https://boardgamegeek.com/boardgame/146508/time-stories,https://cf.geekdo-images.com/XmwCsjQ3C1Ul53ZN2o8Q-Q__original/img/sUuboe9L4_nrIokyjAE74uklCjE=/0x0/filters:format(png)/pic2617634.png
42,Caylus,2,5,150,2005,Worker Placement,"City Building, Economic, Medieval",William Attia,https://boardgamegeek.com/boardgame/18602/caylus,https://cf.geekdo-images.com/yC7nOSc1x5PT-oNnh6TEcQ__original/img/ugJgRdFpYSsb5Pj1NDk76q6LKTo=/0x0/filters:format(jpeg)/pic1638795.jpg
43,Eldritch Horror,1,8,240,2013,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers","Adventure, Fantasy, Fighting, Horror, Novel-based","Corey Konieczka, Nikki Valens",https://boardgamegeek.com/boardgame/146021/eldritch-horror,https://cf.geekdo-images.com/oxdsZKIX5_3ovDo38EIaeg__original/img/vxK08kQAEn5qPbejK2CUTyWOsig=/0x0/filters:format(jpeg)/pic1872452.jpg
44,Twilight Imperium (Third Edition),3,6,240,2005,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter, Modular Board, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting","Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen,https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition,https://cf.geekdo-images.com/MHeQQrbauUVsvh2QF6PMog__original/img/LfjXNSzbVuSmMfcRYwGcuZwFHZo=/0x0/filters:format(jpeg)/pic4128153.jpg
45,Race for the Galaxy,2,4,60,2007,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Card Game, Civilization, Economic, Science Fiction, Space Exploration",Thomas Lehmann,https://boardgamegeek.com/boardgame/28143/race-galaxy,https://cf.geekdo-images.com/-DOqixs8uwKUvvWPKI4f9w__original/img/Vh-DCkTPa8OU45LaJdUywwhiYqE=/0x0/filters:format(jpeg)/pic5261714.jpg
46,Lords of Waterdeep,2,5,120,2012,"Set Collection, Take That, Worker Placement","City Building, Fantasy","Peter Lee, Rodney Thompson",https://boardgamegeek.com/boardgame/110327/lords-waterdeep,https://cf.geekdo-images.com/-hk8f8iGk_DyWyMrfiPBkg__original/img/GWNOhno3y7g0XE00VacKaRxoczk=/0x0/filters:format(jpeg)/pic1116080.jpg
47,Dominant Species,2,6,240,2010,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement","Animals, Environmental, Prehistoric",Chad Jensen,https://boardgamegeek.com/boardgame/62219/dominant-species,https://cf.geekdo-images.com/oeygRZntjNUJWvc8SxDfww__original/img/U-WjAGlPXS_p89z4R0V4b8IADxA=/0x0/filters:format(jpeg)/pic784193.jpg
48,Five Tribes,2,4,80,2014,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection, Variable Phase Order","Arabian, Fantasy, Mythology",Bruno Cathala,https://boardgamegeek.com/boardgame/157354/five-tribes,https://cf.geekdo-images.com/dmo-WD6HZHVUPrbVHunaTw__original/img/PS9HXrThM8Pepbd-cuA1tX8KCYU=/0x0/filters:format(jpeg)/pic2055255.jpg
49,El Grande,2,5,120,1995,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",Renaissance,"Wolfgang Kramer, Richard Ulrich",https://boardgamegeek.com/boardgame/93/el-grande,https://cf.geekdo-images.com/GO282hlXR3RiknU5W4GZjg__original/img/TCTXvYRQGWMAngXuHZcIXRknfpc=/0x0/filters:format(png)/pic5373572.png
50,Patchwork,2,2,30,2014,"Tile Placement, Time Track","Abstract Strategy, Puzzle",Uwe Rosenberg,https://boardgamegeek.com/boardgame/163412/patchwork,https://cf.geekdo-images.com/wLW7pFn0--20lEizEz5p3A__original/img/B1j7R-slq8wxgC71Sg1F7S1s7Kg=/0x0/filters:format(jpeg)/pic2270442.jpg
51,Roll for the Galaxy,2,5,45,2014,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Civilization, Dice, Economic, Science Fiction, Space Exploration","Wei-Hwa Huang, Thomas Lehmann",https://boardgamegeek.com/boardgame/132531/roll-galaxy,https://cf.geekdo-images.com/nhoyoLpYPC2b3UiJ5kJ0yg__original/img/LoETJCbq1HpSlhPLdci3qJekpwA=/0x0/filters:format(jpeg)/pic1473629.jpg
52,Fields of Arle,1,2,120,2014,Worker Placement,"Economic, Farming, Industry / Manufacturing",Uwe Rosenberg,https://boardgamegeek.com/boardgame/159675/fields-arle,https://cf.geekdo-images.com/0w8go6cfvlpgJKydHUkDtA__original/img/322N77t8F7uTev-U_WCqX5uqmEE=/0x0/filters:format(png)/pic2225968.png
53,Dominion: Intrigue,2,4,30,2009,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval",Donald X. Vaccarino,https://boardgamegeek.com/boardgame/40834/dominion-intrigue,https://cf.geekdo-images.com/OGOmpi0GgwOwH2y28QgkuA__original/img/VHMKsFZvoK2KKGZiLyoKZb_YhNQ=/0x0/filters:format(jpeg)/pic460011.jpg
54,Clank!: A Deck-Building Adventure,1,4,60,2016,"Card Drafting, Deck / Pool Building, Player Elimination, Point to Point Movement, Press Your Luck","Adventure, Fantasy",Paul Dennen,https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure,https://cf.geekdo-images.com/DPjV1iI0ygo5Bl3XLNRiIg__original/img/cXqOdM3BLyIeRt0GP3M3V--gF1M=/0x0/filters:format(jpeg)/pic4449526.jpg
55,Dead of Winter: A Crossroads Game,2,5,210,2014,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Storytelling, Trading, Variable Player Powers, Voting","Bluffing, Deduction, Horror, Zombies","Jonathan Gilmour, Isaac Vega",https://boardgamegeek.com/boardgame/150376/dead-winter-crossroads-game,https://cf.geekdo-images.com/g4mV4BH-ZrhMUVgil-yV1A__original/img/NjrnSg1aeia8I4eETDU3I1Br7a8=/0x0/filters:format(jpeg)/pic3016500.jpg
56,Star Wars: X-Wing Miniatures Game,2,2,45,2012,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers","Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Jason Little,https://boardgamegeek.com/boardgame/103885/star-wars-x-wing-miniatures-game,https://cf.geekdo-images.com/yNqgVxaqoZepir7Hzkfe-Q__original/img/H6rYWOhYjT_PXTrvHKyX6FEt-vw=/0x0/filters:format(jpeg)/pic1603292.jpg
57,Battlestar Galactica: The Board Game,3,6,300,2008,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers","Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents",Corey Konieczka,https://boardgamegeek.com/boardgame/37111/battlestar-galactica-board-game,https://cf.geekdo-images.com/5Q2w2rFJiFI_uV89KP6ECg__original/img/MYuRAKLRAGlIQTph2XKWjzqT7sQ=/0x0/filters:format(jpeg)/pic354500.jpg
58,Pandemic Legacy: Season 2,2,4,60,2017,"Co-operative Play, Hand Management, Pick-up and Deliver, Point to Point Movement, Set Collection, Variable Player Powers","Environmental, Exploration, Medical","Rob Daviau, Matt Leacock",https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,https://cf.geekdo-images.com/Qtkb-UTvHa0-kxt_MK1nKw__original/img/wJiRr7lBmWSKcRS3lPpvKIPMgQQ=/0x0/filters:format(jpeg)/pic3763549.jpg
59,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,1981,"Co-operative Play, Storytelling","Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents","Raymond Edwards, Suzanne Goldberg, Gary Grady",https://boardgamegeek.com/boardgame/2511/sherlock-holmes-consulting-detective-thames-murder,https://cf.geekdo-images.com/ptDZ2tJ6dSNiONAx3HH8Tw__original/img/iu21NR45DwHyFY-UPW0m7hwY_vw=/0x0/filters:format(jpeg)/pic3514298.jpg
60,Mombasa,2,4,150,2015,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",Economic,Alexander Pfister,https://boardgamegeek.com/boardgame/172386/mombasa,https://cf.geekdo-images.com/VceWk5QVkgIp6rWDl5qHKQ__original/img/8lLnp9nod-NhjaoUobcZ3vvb7Mg=/0x0/filters:format(jpeg)/pic2611318.jpg
61,Russian Railroads,2,4,120,2013,Worker Placement,"Industry / Manufacturing, Trains","Helmut Ohley, Leonhard ""Lonny"" Orgler",https://boardgamegeek.com/boardgame/144733/russian-railroads,https://cf.geekdo-images.com/B0oEVgeqs4_rT8oyb1_Juw__original/img/EnBmUkDKSbcBusI6nVRczadYs0M=/0x0/filters:format(jpeg)/pic1772936.jpg
62,Trajan,2,4,120,2011,"Area Movement, Card Drafting, Hand Management, Set Collection","Ancient, Political",Stefan Feld,https://boardgamegeek.com/boardgame/102680/trajan,https://cf.geekdo-images.com/djdeCr__iNV5rMnGnxNiaQ__original/img/-pxFp0FHDLLZK_hMT5kHG7IAQ7M=/0x0/filters:format(png)/pic4336095.png
63,Troyes,2,4,90,2010,"Area Control / Area Influence, Dice Rolling, Worker Placement","Dice, Economic, Medieval","Sébastien Dujardin, Xavier Georges, Alain Orban",https://boardgamegeek.com/boardgame/73439/troyes,https://cf.geekdo-images.com/fBIe-aEPtJKC-ceNlspK6A__original/img/otcIVdG4ebZmK1SjUtzma18JtJ4=/0x0/filters:format(jpeg)/pic750583.jpg
64,Dominion,2,4,30,2008,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval",Donald X. Vaccarino,https://boardgamegeek.com/boardgame/36218/dominion,https://cf.geekdo-images.com/j6iQpZ4XkemZP07HNCODBA__original/img/96COuakNiLRrjDLc1sM4Zxsw4WE=/0x0/filters:format(jpeg)/pic394356.jpg
